Id,faixa_etaria,regiao,tipo_usuario,dificuldade_divulgacao,difuculdade_participacao,is_microempreendedor,frequencia_divulgacao,pagar_divulgacao,receber_notificacao,meios_divulgacao_boca_a_boca,meios_divulgacao_não_costumo_divulgar,meios_divulgacao_panfletos/flyers,meios_divulgacao_redes_sociais,meios_divulgacao_sites_ou_blogs,is_anunciante
1,menor que 18 anos,oeste,participo de eventos,não,sim,não,não costumo divulgar,com certeza pagaria,não,False,True,False,False,False,1
2,menor que 18 anos,norte,participo de eventos,não,sim,não,não costumo divulgar,pagaria dependendo do valor,não,False,True,False,False,False,1
3,entre 30 e 59 anos,norte,nenhum,não,não,não,não costumo divulgar,não pagaria,não,False,True,False,False,False,0
4,entre 30 e 59 anos,oeste,nenhum,não,não,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
5,entre 18 e 30 anos,norte,participo de eventos,não,sim,não,não costumo divulgar,não pagaria,não,False,True,False,False,False,0
6,entre 30 e 59 anos,leste,nenhum,não,não,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
7,entre 18 e 30 anos,n/a regiao,nenhum,não,não,não,não costumo divulgar,não pagaria,não,False,True,False,False,False,0
8,entre 30 e 59 anos,n/a regiao,ambos,sim,não,não,raramente (1-2 vezes por ano),pagaria dependendo do valor,sim,True,False,False,False,False,1
8,entre 30 e 59 anos,n/a regiao,ambos,sim,não,não,raramente (1-2 vezes por ano),pagaria dependendo do valor,sim,False,False,False,True,False,1
9,entre 30 e 59 anos,oeste,ambos,não,não,não,ocasionalmente (3-6 vezes por ano),pagaria dependendo do valor,sim,False,False,False,True,False,1
10,entre 30 e 59 anos,oeste,nenhum,não,não,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
11,entre 30 e 59 anos,oeste,nenhum,não,não,não,não costumo divulgar,não pagaria,não,False,True,False,False,False,0
12,entre 30 e 59 anos,n/a regiao,nenhum,não,não,não,não costumo divulgar,não pagaria,não,False,True,False,False,False,0
13,entre 30 e 59 anos,n/a regiao,participo de eventos,não,sim,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
14,entre 30 e 59 anos,oeste,nenhum,não,não,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
15,entre 18 e 30 anos,n/a regiao,participo de eventos,não,sim,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
16,entre 30 e 59 anos,oeste,nenhum,não,não,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
17,entre 18 e 30 anos,n/a regiao,nenhum,não,não,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
18,entre 30 e 59 anos,oeste,participo de eventos,não,sim,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
19,entre 30 e 59 anos,oeste,nenhum,não,não,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
20,entre 30 e 59 anos,oeste,nenhum,não,não,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
21,entre 30 e 59 anos,oeste,nenhum,não,não,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
22,entre 30 e 59 anos,oeste,nenhum,não,não,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
23,mais que 60 anos,leste,participo de eventos,não,não,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
24,entre 30 e 59 anos,oeste,nenhum,não,não,não,não costumo divulgar,não pagaria,não,False,True,False,False,False,0
25,entre 30 e 59 anos,oeste,participo de eventos,não,não,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
26,entre 30 e 59 anos,oeste,ambos,não,não,não,ocasionalmente (3-6 vezes por ano),pagaria dependendo do valor,sim,False,False,True,False,False,1
26,entre 30 e 59 anos,oeste,ambos,não,não,não,ocasionalmente (3-6 vezes por ano),pagaria dependendo do valor,sim,True,False,False,False,False,1
27,mais que 60 anos,oeste,nenhum,não,não,não,não costumo divulgar,não pagaria,não,False,True,False,False,False,0
28,mais que 60 anos,oeste,nenhum,não,não,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
29,entre 30 e 59 anos,oeste,nenhum,não,não,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
30,menor que 18 anos,oeste,nenhum,não,não,não,não costumo divulgar,não pagaria,não,False,True,False,False,False,0
31,menor que 18 anos,norte,nenhum,não,não,não,não costumo divulgar,não pagaria,não,False,True,False,False,False,0
32,menor que 18 anos,norte,participo de eventos,não,sim,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
33,menor que 18 anos,oeste,participo de eventos,não,sim,não,não costumo divulgar,não pagaria,não,False,True,False,False,False,0
34,entre 18 e 30 anos,oeste,nenhum,não,não,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
35,menor que 18 anos,oeste,nenhum,não,não,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
36,menor que 18 anos,n/a regiao,participo de eventos,não,sim,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
37,entre 30 e 59 anos,oeste,nenhum,não,não,não,não costumo divulgar,não pagaria,sim,False,True,False,False,False,0
38,menor que 18 anos,oeste,participo de eventos,não,não,não,não costumo divulgar,não pagaria,não,False,True,False,False,False,0
39,menor que 18 anos,oeste,participo de eventos,não,sim,não,não costumo divulgar,não pagaria,não,False,True,False,False,False,0
